시간,내부온도관측치,내부습도관측치,CO2관측치,EC관측치,외부온도추정관측치,외부습도추정관측치,펌프상태,펌프작동남은시간,펌프최근분무량,펌프일간누적분무량,냉방상태,냉방작동남은시간,난방상태,난방작동남은시간,내부유동팬상태,내부유동팬작동남은시간,외부환기팬상태,외부환기팬작동남은시간,화이트 LED상태,화이트 LED작동남은시간,화이트 LED동작강도,레드 LED상태,레드 LED작동남은시간,레드 LED동작강도,블루 LED상태,블루 LED작동남은시간,블루 LED동작강도,카메라상태,냉방온도,난방온도,기준온도,난방부하,냉방부하,총추정광량,백색광추정광량,적색광추정광량,청색광추정광량
2022-04-25 00:00:00,22.79999924,73.0,384.0,0.982218146,24.74000015,57.29999924,0.0,0.0,769.0,769.0,201.0,3584.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,88.0,0.0,201.0,91.0,0.0,201.0,93.0,0.0,0.0,16.0,14.0,15.0,0.0,43.99999619,0.0,0.0,0.0,0.0
2022-04-25 00:01:00,22.79999924,72.69999695,377.0,0.983111918,24.75999985,57.29999924,201.0,114.0,769.0,769.0,201.0,3593.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,36.0,0.0,201.0,39.0,0.0,201.0,41.0,0.0,0.0,16.0,14.0,15.0,0.0,43.99999619,0.0,0.0,0.0,0.0
2022-04-25 00:02:00,22.79999924,72.5,384.0,0.982218146,24.77999954,57.29999924,0.0,0.0,769.0,769.0,201.0,3596.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,159.0,0.0,201.0,161.0,0.0,201.0,163.0,0.0,0.0,16.0,14.0,15.0,0.0,43.99999619,0.0,0.0,0.0,0.0
2022-04-25 00:03:00,22.79999924,72.30000305,380.0,0.981324434,24.79999924,57.29999924,0.0,0.0,769.0,769.0,201.0,3597.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,99.0,0.0,201.0,101.0,0.0,201.0,103.0,0.0,0.0,16.0,14.0,15.0,0.0,43.99999619,0.0,0.0,0.0,0.0
2022-04-25 00:04:00,22.79999924,72.30000305,380.0,0.981324434,24.75999985,57.29999924,0.0,0.0,769.0,769.0,201.0,3599.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,37.0,0.0,201.0,38.0,0.0,201.0,40.0,0.0,0.0,16.0,14.0,15.0,0.0,43.99999619,0.0,0.0,0.0,0.0
2022-04-25 00:05:00,22.79999924,72.19999695,381.0,0.980430663,24.70000076,57.29999924,0.0,0.0,769.0,769.0,201.0,3598.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,160.0,0.0,201.0,162.0,0.0,201.0,164.0,0.0,0.0,16.0,14.0,15.0,0.0,43.99999619,0.0,0.0,0.0,0.0
2022-04-25 00:06:00,22.79999924,72.0,381.0,0.980430663,24.68000107,57.29999924,0.0,0.0,769.0,769.0,201.0,3599.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,97.0,0.0,201.0,99.0,0.0,201.0,101.0,0.0,0.0,16.0,14.0,15.0,0.0,43.99999619,0.0,0.0,0.0,0.0
2022-04-25 00:07:00,22.79999924,71.90000153,382.0,0.981324434,24.74000015,57.24000015,0.0,0.0,769.0,769.0,201.0,3541.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,42.0,0.0,201.0,44.0,0.0,201.0,46.0,0.0,0.0,16.0,14.0,15.0,0.0,43.99999619,0.0,0.0,0.0,0.0
2022-04-25 00:08:00,22.79999924,72.0,381.0,0.981324434,24.79999924,57.25999985,0.0,0.0,769.0,769.0,201.0,3599.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,156.0,0.0,201.0,158.0,0.0,201.0,160.0,0.0,0.0,16.0,14.0,15.0,0.0,43.99999619,0.0,0.0,0.0,0.0
2022-04-25 00:09:00,22.79999924,72.09999847,383.0,0.981324434,24.81999893,57.22000046,0.0,0.0,769.0,769.0,201.0,3539.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,98.0,0.0,201.0,100.0,0.0,201.0,102.0,0.0,0.0,16.0,14.0,15.0,0.0,43.99999619,0.0,0.0,0.0,0.0
