시간,내부온도관측치,내부습도관측치,CO2관측치,EC관측치,외부온도관측치,외부습도관측치,펌프상태,펌프작동남은시간,최근분무량,일간누적분무량,냉방상태,냉방작동남은시간,난방상태,난방작동남은시간,내부유동팬상태,내부유동팬작동남은시간,외부환기팬상태,외부환기팬작동남은시간,화이트 LED상태,화이트 LED작동남은시간,화이트 LED동작강도,레드 LED상태,레드 LED작동남은시간,레드 LED동작강도,블루 LED상태,블루 LED작동남은시간,블루 LED동작강도,카메라상태,냉방온도,난방온도,기준온도,난방부하,냉방부하,총추정광량,백색광추정광량,적색광추정광량,청색광추정광량
2022-02-04 00:00:00,23.0,29.79999924,586.0,3.873288631,19.29999924,12.89999962,0.0,0.0,0.0,0.0,201.0,3599.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,23.0,100.0,201.0,25.0,60.0,201.0,27.0,100.0,0.0,21.0,20.0,20.5,0.0,15.0,0.0,0.0,0.0,0.0
2022-02-04 00:01:00,23.0,29.79999924,589.0,3.873288631,19.29999924,12.89999962,0.0,0.0,0.0,0.0,201.0,3547.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,153.0,0.0,201.0,155.0,0.0,201.0,157.0,0.0,0.0,21.0,20.0,20.5,0.0,15.0,0.0,0.0,0.0,0.0
2022-02-04 00:02:00,23.0,29.79999924,591.0,3.873288631,19.24000015,12.89999962,0.0,0.0,0.0,0.0,201.0,3552.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,97.0,0.0,201.0,99.0,0.0,201.0,101.0,0.0,0.0,21.0,20.0,20.5,0.116667111666667,13.2499996821667,0.0,0.0,0.0,0.0
2022-02-04 00:03:00,23.0,29.79999924,587.0,3.873288631,19.25999985,12.89999962,0.0,0.0,0.0,0.0,201.0,3540.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,24.0,0.0,201.0,26.0,0.0,201.0,28.0,0.0,0.0,21.0,20.0,20.5,0.233334223333333,11.4999993643333,0.0,0.0,0.0,0.0
2022-02-04 00:04:00,23.0,29.79999924,582.0,3.872285604,19.22000046,12.89999962,0.0,0.0,0.0,0.0,201.0,3559.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,163.0,0.0,201.0,165.0,0.0,201.0,167.0,0.0,0.0,21.0,20.0,20.5,0.350001335,9.7499990465,0.0,0.0,0.0,0.0
2022-02-04 00:05:00,23.0,29.79999924,582.0,3.873288631,19.20000076,12.89999962,0.0,0.0,0.0,0.0,201.0,3495.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,99.0,0.0,201.0,101.0,0.0,201.0,103.0,0.0,0.0,21.0,20.0,20.5,0.466668446666667,7.99999872866667,0.0,0.0,0.0,0.0
2022-02-04 00:06:00,20.89999962,29.79999924,591.0,3.872285604,19.14000053,12.89999962,0.0,0.0,0.0,0.0,201.0,3550.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,32.0,0.0,201.0,34.0,0.0,201.0,36.0,0.0,0.0,21.0,20.0,20.5,0.583335558333333,6.24999841083333,0.0,0.0,0.0,0.0
2022-02-04 00:07:00,20.60000038,30.5285709957143,584.0,3.873288631,19.08000069,12.89999962,0.0,0.0,0.0,0.0,201.0,3559.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,161.0,0.0,201.0,163.0,0.0,201.0,165.0,0.0,0.0,21.0,20.0,20.5,0.70000267,4.499998093,0.0,0.0,0.0,0.0
2022-02-04 00:08:00,20.60000038,31.2571427514286,586.0,3.895354033,19.08000031,12.95999985,0.0,0.0,0.0,0.0,201.0,3544.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,86.0,0.0,201.0,88.0,0.0,201.0,90.0,0.0,0.0,21.0,20.0,20.5,2.79999733,3.000001907,0.0,0.0,0.0,0.0
2022-02-04 00:09:00,20.70000076,31.9857145071429,585.0,3.895354033,19.08000031,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,34.0,0.0,201.0,36.0,0.0,201.0,38.0,0.0,0.0,21.0,20.0,20.5,2.79999733,3.000001907,0.0,0.0,0.0,0.0
2022-02-04 00:10:00,20.79999924,32.7142862628571,584.0,3.895354033,19.04000015,13.02000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,159.0,0.0,201.0,161.0,0.0,201.0,163.0,0.0,0.0,21.0,20.0,20.5,2.4499959945,3.250002861,0.0,0.0,0.0,0.0
2022-02-04 00:11:00,20.89999962,33.4428580185714,585.0,3.895354033,19.06000023,13.02000008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,91.0,0.0,201.0,93.0,0.0,201.0,95.0,0.0,0.0,21.0,20.0,20.5,2.099994659,3.500003815,0.0,0.0,0.0,0.0
2022-02-04 00:12:00,21.10000038,34.1714297742857,588.0,3.895354033,18.95999985,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,43.0,0.0,201.0,45.0,0.0,201.0,47.0,0.0,0.0,21.0,20.0,20.5,1.400005341,3.999996185,0.0,0.0,0.0,0.0
2022-02-04 00:13:00,21.10000038,34.90000153,591.0,3.896356821,18.95999985,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,164.0,0.0,201.0,166.0,0.0,201.0,168.0,0.0,0.0,21.0,20.0,20.5,0.70000267,4.499998093,0.0,0.0,0.0,0.0
2022-02-04 00:14:00,21.10000038,35.09999847,584.0,3.896356821,18.97999992,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,93.0,0.0,201.0,95.0,0.0,201.0,97.0,0.0,0.0,21.0,20.0,20.5,0.0,5.500001907,0.0,0.0,0.0,0.0
2022-02-04 00:15:00,21.29999924,35.09999847,584.0,3.896356821,18.91999969,13.06000023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,42.0,0.0,201.0,44.0,0.0,201.0,46.0,0.0,0.0,21.0,20.0,20.5,0.0,5.500001907,0.0,0.0,0.0,0.0
2022-02-04 00:16:00,21.29999924,35.29999924,589.0,3.896356821,18.97999992,13.04000015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,158.0,0.0,201.0,160.0,0.0,201.0,162.0,0.0,0.0,21.0,20.0,20.5,0.0,5.500001907,0.0,0.0,0.0,0.0
2022-02-04 00:17:00,21.29999924,35.20000076,591.0,3.895354033,18.91999969,13.08000031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,96.0,0.0,201.0,98.0,0.0,201.0,100.0,0.0,0.0,21.0,20.0,20.5,0.0,6.499996185,0.0,0.0,0.0,0.0
2022-02-04 00:18:00,21.39999962,35.09999847,594.0,3.909395456,18.89999962,13.10000038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,45.0,0.0,201.0,47.0,0.0,201.0,49.0,0.0,0.0,21.0,20.0,20.5,0.0,6.499996185,0.0,0.0,0.0,0.0
2022-02-04 00:19:00,21.39999962,35.09999847,592.0,3.910398483,18.89999962,13.10000038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,158.0,0.0,201.0,160.0,0.0,201.0,162.0,0.0,0.0,21.0,20.0,20.5,0.0,6.499996185,0.0,0.0,0.0,0.0
2022-02-04 00:20:00,21.39999962,35.29999924,592.0,3.909395456,18.87999954,13.12000046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,109.0,0.0,201.0,111.0,0.0,201.0,113.0,0.0,0.0,21.0,20.0,20.5,0.0,6.999998093,0.0,0.0,0.0,0.0
2022-02-04 00:21:00,21.39999962,35.20000076,590.0,3.910398483,18.89999962,13.10000038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,36.0,0.0,201.0,38.0,0.0,201.0,40.0,0.0,0.0,21.0,20.0,20.5,0.0,6.999998093,0.0,0.0,0.0,0.0
2022-02-04 00:22:00,21.39999962,35.20000076,584.0,3.909395456,18.89999962,13.10000038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,159.0,0.0,201.0,161.0,0.0,201.0,163.0,0.0,0.0,21.0,20.0,20.5,0.0,6.999998093,0.0,0.0,0.0,0.0
2022-02-04 00:23:00,21.5,35.09999847,591.0,3.909395456,18.83999939,13.16000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,106.0,0.0,201.0,108.0,0.0,201.0,110.0,0.0,0.0,21.0,20.0,20.5,0.0,6.999998093,0.0,0.0,0.0,0.0
2022-02-04 00:24:00,21.39999962,35.09999847,591.0,3.909395456,18.85999947,13.19999981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,43.0,0.0,201.0,45.0,0.0,201.0,47.0,0.0,0.0,21.0,20.0,20.5,0.0,6.999998093,0.0,0.0,0.0,0.0
2022-02-04 00:25:00,21.39999962,35.09999847,589.0,3.910398483,18.81999931,13.21999969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,162.0,0.0,201.0,164.0,0.0,201.0,166.0,0.0,0.0,21.0,20.0,20.5,0.0,7.5,0.0,0.0,0.0,0.0
2022-02-04 00:26:00,21.39999962,35.20000076,589.0,3.909395456,18.79999924,13.21999969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,107.0,0.0,201.0,109.0,0.0,201.0,111.0,0.0,0.0,21.0,20.0,20.5,0.0,6.999998093,0.0,0.0,0.0,0.0
2022-02-04 00:27:00,21.39999962,35.09999847,590.0,3.910398483,18.79999924,13.19999981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,39.0,0.0,201.0,41.0,0.0,201.0,43.0,0.0,0.0,21.0,20.0,20.5,0.0,6.999998093,0.0,0.0,0.0,0.0
