시간,내부온도관측치,내부습도관측치,CO2관측치,EC관측치,외부온도관측치,외부습도관측치,펌프상태,펌프작동남은시간,펌프최근분무량,펌프일간누적분무량,냉방상태,냉방작동남은시간,난방상태,난방작동남은시간,내부유동팬상태,내부유동팬작동남은시간,외부환기팬상태,외부환기팬작동남은시간,화이트 LED상태,화이트 LED작동남은시간,화이트 LED동작강도,레드 LED상태,레드 LED작동남은시간,레드 LED동작강도,블루 LED상태,블루 LED작동남은시간,블루 LED동작강도,카메라상태,냉방온도,난방온도,기준온도,난방부하,냉방부하,총추정광량,백색광추정광량,적색광추정광량,청색광추정광량
2022-05-21 00:00:00,20.5,68.40000153,561.0,4.850366116,23.89999962,45.79999924,0,0,769,769.0,201,3548.0,0,0,0,0,0,0,201,118.0,0,201,121.0,0,201,123.0,0,0,16.0,14.0,15.0,0.0,32.5,0.0,0.0,0.0,0.0
2022-05-21 00:01:00,20.60000038,68.59999847,561.0,4.847498894,23.79999924,45.79999924,201,87,769,769.0,201,3563.0,0,0,0,0,0,0,201,70.0,0,201,73.0,0,201,75.0,0,0,16.0,14.0,15.0,0.0,32.5,0.0,0.0,0.0,0.0
2022-05-21 00:02:00,20.60000038,68.80000305,562.0,4.846543312,23.89999962,45.79999924,0,0,769,769.0,201,3556.0,0,0,0,0,0,0,201,172.0,0,201,174.0,0,201,176.0,0,0,16.0,14.0,15.0,0.0,32.5,0.0,0.0,0.0,0.0
2022-05-21 00:03:00,20.60000038,69.0,563.0,4.850366116,23.89999962,45.79999924,0,0,769,769.0,201,3551.0,0,0,0,0,0,0,201,122.0,0,201,124.0,0,201,126.0,0,0,16.0,14.0,15.0,0.0,33.00000191,0.0,0.0,0.0,0.0
2022-05-21 00:04:00,20.60000038,69.0,564.0,4.848454952,23.79999924,45.70000076,0,0,769,769.0,201,3554.0,0,0,0,0,0,0,201,61.0,0,201,63.0,0,201,65.0,0,0,16.0,14.0,15.0,0.0,33.00000191,0.0,0.0,0.0,0.0
2022-05-21 00:05:00,20.60000038,68.5,561.0,4.847498894,23.89999962,45.79999924,0,0,769,769.0,201,3553.0,0,0,0,0,0,0,201,185.0,0,201,187.0,0,201,189.0,0,0,16.0,14.0,15.0,0.0,33.00000191,0.0,0.0,0.0,0.0
2022-05-21 00:06:00,20.60000038,68.69999695,564.0,4.847498894,23.79999924,45.79999924,0,0,769,769.0,201,3551.0,0,0,0,0,0,0,201,122.0,0,201,124.0,0,201,126.0,0,0,16.0,14.0,15.0,0.0,33.00000191,0.0,0.0,0.0,0.0
2022-05-21 00:07:00,20.60000038,69.0,560.0,4.849410534,23.79999924,45.70000076,0,0,769,769.0,201,3554.0,0,0,0,0,0,0,201,64.0,0,201,66.0,0,201,68.0,0,0,16.0,14.0,15.0,0.0,33.00000191,0.0,0.0,0.0,0.0
2022-05-21 00:08:00,20.60000038,68.90000153,558.0,4.850366116,23.89999962,45.79999924,0,0,769,769.0,201,3577.0,0,0,0,0,0,0,201,195.0,0,201,197.0,0,201,199.0,0,0,16.0,14.0,15.0,0.0,33.00000191,0.0,0.0,0.0,0.0
2022-05-21 00:09:00,20.60000038,68.5,557.0,4.853232861,23.89999962,45.70000076,0,0,769,769.0,201,3572.0,0,0,0,0,0,0,201,111.0,0,201,113.0,0,201,115.0,0,0,16.0,14.0,15.0,0.0,33.00000191,0.0,0.0,0.0,0.0
2022-05-21 00:10:00,20.60000038,68.09999847,561.0,4.853232861,23.79999924,45.79999924,0,0,769,769.0,201,3559.0,0,0,0,0,0,0,201,56.0,0,201,58.0,0,201,60.0,0,0,16.0,14.0,15.0,0.0,33.00000191,0.0,0.0,0.0,0.0
2022-05-21 00:11:00,20.60000038,68.09999847,560.0,4.854188442,23.79999924,45.79999924,0,0,769,769.0,201,3586.0,0,0,0,0,0,0,201,17.0,0,201,19.0,0,201,21.0,0,0,16.0,14.0,15.0,0.0,33.00000191,0.0,0.0,0.0,0.0
2022-05-21 00:12:00,20.60000038,68.09999847,562.0,4.855144024,23.79999924,45.79999924,0,0,769,769.0,201,3541.0,0,0,0,0,0,0,201,101.0,0,201,103.0,0,201,105.0,0,0,16.0,14.0,15.0,0.0,33.00000191,0.0,0.0,0.0,0.0
2022-05-21 00:13:00,20.60000038,68.30000305,558.0,4.856099606,23.79999924,45.79999924,0,0,769,769.0,201,3586.0,0,0,0,0,0,0,201,85.0,0,201,87.0,0,201,89.0,0,0,16.0,14.0,15.0,0.0,33.00000191,0.0,0.0,0.0,0.0
2022-05-21 00:14:00,20.60000038,68.30000305,553.0,4.853232861,23.70000076,45.79999924,0,0,769,769.0,201,3557.0,0,0,0,0,0,0,201,180.0,0,201,182.0,0,201,184.0,0,0,16.0,14.0,15.0,0.0,33.00000191,0.0,0.0,0.0,0.0
2022-05-21 00:15:00,20.60000038,68.5,559.0,4.858966827,23.79999924,45.79999924,0,0,769,769.0,201,3571.0,0,0,0,0,0,0,201,123.0,0,201,125.0,0,201,127.0,0,0,16.0,14.0,15.0,0.0,33.00000191,0.0,0.0,0.0,0.0
2022-05-21 00:16:00,20.60000038,68.80000305,556.0,4.856099606,23.60000038,45.79999924,0,0,769,769.0,201,3566.0,0,0,0,0,0,0,201,58.0,0,201,60.0,0,201,62.0,0,0,16.0,14.0,15.0,0.0,33.00000191,0.0,0.0,0.0,0.0
2022-05-21 00:17:00,20.60000038,68.69999695,561.0,4.857055664,23.79999924,45.79999924,0,0,769,769.0,201,3555.0,0,0,0,0,0,0,201,168.0,0,201,170.0,0,201,172.0,0,0,16.0,14.0,15.0,0.0,33.00000191,0.0,0.0,0.0,0.0
2022-05-21 00:18:00,20.60000038,68.69999695,554.0,4.857055664,23.79999924,45.79999924,0,0,769,769.0,201,3590.0,0,0,0,0,0,0,201,142.0,0,201,144.0,0,201,146.0,0,0,16.0,14.0,15.0,0.0,33.00000191,0.0,0.0,0.0,0.0
2022-05-21 00:19:00,20.60000038,68.59999847,558.0,4.858966827,23.79999924,45.79999924,0,0,769,769.0,201,3586.0,0,0,0,0,0,0,201,59.0,0,201,61.0,0,201,63.0,0,0,16.0,14.0,15.0,0.0,33.00000191,0.0,0.0,0.0,0.0
2022-05-21 00:20:00,20.60000038,68.5,554.0,4.857055664,23.79999924,45.79999924,0,0,769,769.0,201,3564.0,0,0,0,0,0,0,201,174.0,0,201,176.0,0,201,178.0,0,0,16.0,14.0,15.0,0.0,33.00000191,0.0,0.0,0.0,0.0
2022-05-21 00:21:00,20.5,68.59999847,557.0,4.857055664,23.70000076,45.79999924,0,0,769,769.0,201,3566.0,0,0,0,0,0,0,201,115.0,0,201,117.0,0,201,119.0,0,0,16.0,14.0,15.0,0.0,33.00000191,0.0,0.0,0.0,0.0
2022-05-21 00:22:00,20.60000038,69.0,554.0,4.858011246,23.70000076,45.79999924,0,0,769,769.0,201,3548.0,0,0,0,0,0,0,201,36.0,0,201,38.0,0,201,40.0,0,0,16.0,14.0,15.0,0.0,33.00000191,0.0,0.0,0.0,0.0
2022-05-21 00:23:00,20.60000038,69.0,557.0,4.856099606,23.70000076,45.79999924,0,0,769,769.0,201,3574.0,0,0,0,0,0,0,201,195.0,0,201,197.0,0,201,199.0,0,0,16.0,14.0,15.0,0.0,32.5,0.0,0.0,0.0,0.0
2022-05-21 00:24:00,20.60000038,68.90000153,555.0,4.858966827,23.79999924,45.90000153,0,0,769,769.0,201,3580.0,0,0,0,0,0,0,201,129.0,0,201,131.0,0,201,133.0,0,0,16.0,14.0,15.0,0.0,33.00000191,0.0,0.0,0.0,0.0
2022-05-21 00:25:00,20.60000038,68.30000305,555.0,4.857055664,23.70000076,45.79999924,0,0,769,769.0,201,3568.0,0,0,0,0,0,0,201,66.0,0,201,68.0,0,201,70.0,0,0,16.0,14.0,15.0,0.0,33.00000191,0.0,0.0,0.0,0.0
2022-05-21 00:26:00,20.60000038,68.09999847,553.0,4.858966827,23.70000076,45.90000153,0,0,769,769.0,201,3599.0,0,0,0,0,0,0,201,9.0,0,201,11.0,0,201,13.0,0,0,16.0,14.0,15.0,0.0,33.00000191,0.0,0.0,0.0,0.0
2022-05-21 00:27:00,20.60000038,68.5,557.0,4.861833572,23.70000076,45.90000153,0,0,769,769.0,201,3574.0,0,0,0,0,0,0,201,144.0,0,201,146.0,0,201,148.0,0,0,16.0,14.0,15.0,0.0,33.00000191,0.0,0.0,0.0,0.0
2022-05-21 00:28:00,20.60000038,68.5,556.0,4.857055664,23.79999924,45.90000153,0,0,769,769.0,201,3538.0,0,0,0,0,0,0,201,108.0,0,201,110.0,0,201,112.0,0,0,16.0,14.0,15.0,0.0,33.00000191,0.0,0.0,0.0,0.0
2022-05-21 00:29:00,20.60000038,68.19999695,554.0,4.858966827,23.60000038,46.0,0,0,769,769.0,201,3571.0,0,0,0,0,0,0,201,175.0,0,201,177.0,0,201,179.0,0,0,16.0,14.0,15.0,0.0,33.00000191,0.0,0.0,0.0,0.0
2022-05-21 00:30:00,20.60000038,67.69999695,549.0,4.856099606,23.79999924,46.0,0,0,769,769.0,201,3573.0,0,0,0,0,0,0,201,116.0,0,201,118.0,0,201,120.0,0,0,16.0,14.0,15.0,0.0,33.00000191,0.0,0.0,0.0,0.0
2022-05-21 00:31:00,20.60000038,67.59999847,555.0,4.858966827,23.70000076,46.0,0,0,769,769.0,201,3573.0,0,0,0,0,0,0,201,56.0,0,201,58.0,0,201,60.0,0,0,16.0,14.0,15.0,0.0,33.00000191,0.0,0.0,0.0,0.0
2022-05-21 00:32:00,20.60000038,67.5,556.0,4.857055664,23.70000076,46.09999847,0,0,769,769.0,201,3579.0,0,0,0,0,0,0,201,182.0,0,201,184.0,0,201,186.0,0,0,16.0,14.0,15.0,0.0,33.00000191,0.0,0.0,0.0,0.0
2022-05-21 00:33:00,20.60000038,68.19999695,554.0,4.859922409,23.79999924,46.09999847,0,0,769,769.0,201,3572.0,0,0,0,0,0,0,201,106.0,0,201,108.0,0,201,110.0,0,0,16.0,14.0,15.0,0.0,33.00000191,0.0,0.0,0.0,0.0
2022-05-21 00:34:00,20.60000038,68.5,553.0,4.860877991,23.60000038,46.20000076,0,0,769,769.0,201,3580.0,0,0,0,0,0,0,201,60.0,0,201,62.0,0,201,64.0,0,0,16.0,14.0,15.0,0.0,33.00000191,0.0,0.0,0.0,0.0
2022-05-21 00:35:00,20.60000038,68.80000305,552.0,4.860877991,23.70000076,46.09999847,0,0,769,769.0,201,3587.0,0,0,0,0,0,0,201,181.0,0,201,183.0,0,201,186.0,0,0,16.0,14.0,15.0,0.0,33.00000191,0.0,0.0,0.0,0.0
2022-05-21 00:36:00,20.60000038,68.59999847,554.0,4.859922409,23.79999924,46.09999847,0,0,769,769.0,201,3548.0,0,0,0,0,0,0,201,142.0,0,201,144.0,0,201,147.0,0,0,16.0,14.0,15.0,0.0,33.00000191,0.0,0.0,0.0,0.0
2022-05-21 00:37:00,20.60000038,68.40000153,550.0,4.862789154,23.70000076,46.0,0,0,769,769.0,201,3580.0,0,0,0,0,0,0,201,59.0,0,201,61.0,0,201,64.0,0,0,16.0,14.0,15.0,0.0,33.00000191,0.0,0.0,0.0,0.0
2022-05-21 00:38:00,20.60000038,68.30000305,552.0,4.858011246,23.60000038,46.0,0,0,769,769.0,201,3530.0,0,0,0,0,0,0,201,9.0,0,201,11.0,0,201,14.0,0,0,16.0,14.0,15.0,0.0,33.00000191,0.0,0.0,0.0,0.0
2022-05-21 00:39:00,20.60000038,68.5,552.0,4.858966827,23.79999924,46.0,0,0,769,769.0,201,3551.0,0,0,0,0,0,0,201,140.0,0,201,142.0,0,201,145.0,0,0,16.0,14.0,15.0,0.0,33.00000191,0.0,0.0,0.0,0.0
2022-05-21 00:40:00,20.60000038,69.69999695,552.0,4.858011246,23.70000076,46.0,0,0,769,769.0,201,3549.0,0,0,0,0,0,0,201,89.0,0,201,91.0,0,201,94.0,0,0,16.0,14.0,15.0,0.0,33.00000191,0.0,0.0,0.0,0.0
2022-05-21 00:41:00,20.60000038,70.09999847,551.0,4.857055664,23.70000076,46.0,0,0,769,769.0,201,3552.0,0,0,0,0,0,0,201,35.0,0,201,37.0,0,201,39.0,0,0,16.0,14.0,15.0,0.0,33.00000191,0.0,0.0,0.0,0.0
2022-05-21 00:42:00,20.60000038,70.19999695,551.0,4.856099606,23.79999924,46.0,0,0,769,769.0,201,3588.0,0,0,0,0,0,0,201,119.0,0,201,121.0,0,201,123.0,0,0,16.0,14.0,15.0,0.0,33.00000191,0.0,0.0,0.0,0.0
2022-05-21 00:43:00,20.60000038,69.80000305,548.0,4.858011246,23.79999924,46.0,0,0,769,769.0,201,3591.0,0,0,0,0,0,0,201,65.0,0,201,67.0,0,201,69.0,0,0,16.0,14.0,15.0,0.0,33.00000191,0.0,0.0,0.0,0.0
